wavelength      radiance
196.07843       1.11532E-03
192.30769       1.16986E-03
188.67924       1.23241E-03
185.18518       1.29902E-03
181.81818       1.37386E-03
178.57143       1.45784E-03
175.43860       1.56054E-03
172.41379       1.68767E-03
169.49153       1.82157E-03
166.66667       1.96112E-03
163.93443       2.10037E-03
161.29033       2.21721E-03
158.73016       2.33531E-03
156.25000       2.49107E-03
153.84616       2.70024E-03
151.51515       2.90279E-03
149.25374       3.03252E-03
147.05882       3.13668E-03
144.92754       3.30536E-03
142.85715       3.52846E-03
140.84508       3.69523E-03
138.88889       3.80126E-03
136.98630       3.95207E-03
135.13513       4.16417E-03
133.33333       4.40512E-03
131.57895       4.70212E-03
129.87013       5.00016E-03
128.20512       5.19007E-03
126.58228       5.34915E-03
125.00000       5.60967E-03
123.45679       5.91106E-03
121.95122       6.20498E-03
120.48193       6.59370E-03
119.04762       7.00952E-03
117.64706       7.31686E-03
116.27907       7.53037E-03
114.94253       7.70862E-03
113.63636       7.93194E-03
112.35955       8.28089E-03
111.11111       8.72261E-03
109.89011       9.06648E-03
108.69566       9.31625E-03
107.52688       9.71609E-03
106.38298       1.02915E-02
105.26316       1.07692E-02
104.16666       1.11464E-02
103.09278       1.15752E-02
102.04082       1.19170E-02
101.01010       1.21878E-02
100.00000       1.25364E-02
99.00990       1.30623E-02
98.03922       1.37951E-02
97.08738       1.44058E-02
96.15385       1.47062E-02
95.23810       1.50528E-02
94.33962       1.56624E-02
93.45795       1.63876E-02
92.59259       1.72122E-02
91.74312       1.79844E-02
90.90909       1.83347E-02
90.09009       1.86470E-02
89.28571       1.95088E-02
88.49557       2.06518E-02
87.71930       2.16525E-02
86.95652       2.23875E-02
86.20689       2.28764E-02
85.47009       2.32233E-02
84.74577       2.36272E-02
84.03362       2.40767E-02
83.33334       2.44342E-02
82.64463       2.49342E-02
81.96722       2.57088E-02
81.30081       2.68317E-02
80.64516       2.81038E-02
80.00000       2.88271E-02
79.36508       2.91419E-02
78.74016       2.97364E-02
78.12500       3.08227E-02
77.51938       3.22753E-02
76.92308       3.33769E-02
76.33588       3.37091E-02
75.75758       3.39255E-02
75.18797       3.48066E-02
74.62687       3.64827E-02
74.07407       3.83373E-02
73.52941       3.97853E-02
72.99270       4.05817E-02
72.46377       4.07038E-02
71.94244       4.07586E-02
71.42857       4.13938E-02
70.92199       4.30397E-02
70.42254       4.55548E-02
69.93007       4.78043E-02
69.44444       4.92003E-02
68.96552       5.00799E-02
68.49315       5.06636E-02
68.02721       5.09003E-02
67.56757       5.09430E-02
67.11410       5.12352E-02
66.66666       5.21446E-02
66.22517       5.36155E-02
65.78947       5.51019E-02
65.35947       5.65039E-02
64.93507       5.86002E-02
64.51613       6.10811E-02
64.10256       6.24629E-02
63.69427       6.28548E-02
63.29114       6.40296E-02
62.89308       6.67084E-02
62.50000       6.96250E-02
62.11180       7.15401E-02
61.72839       7.31814E-02
61.34969       7.55066E-02
60.97561       7.74627E-02
60.60606       7.79368E-02
60.24096       7.76223E-02
59.88024       7.85078E-02
59.52381       8.01368E-02
59.17160       8.03873E-02
58.82353       8.04125E-02
58.47953       8.22847E-02
58.13953       8.49137E-02
57.80347       8.66036E-02
57.47126       8.87897E-02
57.14286       9.12512E-02
56.81818       9.19715E-02
56.49717       9.24498E-02
56.17978       9.49651E-02
55.86592       9.94467E-02
55.55556       1.02673E-01
55.24862       1.03816E-01
54.94505       1.05907E-01
54.64481       1.08825E-01
54.34783       1.12108E-01
54.05405       1.15586E-01
53.76344       1.17174E-01
53.47594       1.16031E-01
53.19149       1.15297E-01
52.91005       1.19228E-01
52.63158       1.25585E-01
52.35602       1.30038E-01
52.08333       1.31345E-01
51.81347       1.29958E-01
51.54639       1.29896E-01
51.28205       1.33161E-01
51.02041       1.36697E-01
50.76142       1.39157E-01
50.50505       1.41620E-01
50.25126       1.43627E-01
50.00000       1.43517E-01
49.75124       1.42216E-01
49.50495       1.42722E-01
49.26109       1.45209E-01
49.01961       1.48973E-01
48.78049       1.54574E-01
48.54369       1.58416E-01
48.30918       1.57554E-01
48.07692       1.55981E-01
47.84689       1.59276E-01
47.61905       1.66253E-01
47.39336       1.72221E-01
47.16981       1.75892E-01
46.94836       1.75943E-01
46.72897       1.74832E-01
46.51163       1.79988E-01
46.29630       1.90269E-01
46.08295       1.97659E-01
45.87156       2.00806E-01
45.66210       2.01636E-01
45.45454       1.99177E-01
45.24887       1.94387E-01
45.04504       1.94008E-01
44.84305       1.98952E-01
44.64286       2.03816E-01
44.44444       2.05362E-01
44.24779       2.02794E-01
44.05286       2.01754E-01
43.85965       2.06652E-01
43.66812       2.16576E-01
43.47826       2.26471E-01
43.29004       2.32683E-01
43.10345       2.37274E-01
42.91845       2.42183E-01
42.73504       2.49090E-01
42.55319       2.56314E-01
42.37288       2.62006E-01
42.19409       2.67222E-01
42.01681       2.71945E-01
41.84100       2.76024E-01
41.66667       2.79255E-01
41.49377       2.81111E-01
41.32232       2.81458E-01
41.15226       2.78845E-01
40.98361       2.71103E-01
40.81633       2.63474E-01
40.65041       2.64211E-01
40.48583       2.68077E-01
40.32258       2.71813E-01
40.16064       2.83327E-01
40.00000       2.96274E-01
39.84064       3.00828E-01
39.68254       2.98145E-01
39.52569       2.91794E-01
39.37008       2.90838E-01
39.21569       3.00224E-01
39.06250       3.14812E-01
38.91051       3.29650E-01
38.75969       3.42064E-01
38.61004       3.50589E-01
38.46154       3.57483E-01
38.31417       3.64380E-01
38.16794       3.67103E-01
38.02281       3.66936E-01
37.87879       3.69102E-01
37.73585       3.63976E-01
37.59399       3.56339E-01
37.45318       3.67082E-01
37.31343       3.87459E-01
37.17472       4.00934E-01
37.03704       4.07438E-01
36.90037       4.09222E-01
36.76471       4.09217E-01
36.63004       4.11170E-01
36.49635       4.11169E-01
36.36364       3.99971E-01
36.23188       3.87047E-01
36.10108       3.82258E-01
35.97122       3.80071E-01
35.84229       3.84916E-01
35.71429       3.94278E-01
35.58719       3.95478E-01
35.46099       3.96878E-01
35.33569       4.16714E-01
35.21127       4.45573E-01
35.08772       4.63667E-01
34.96503       4.71976E-01
34.84320       4.75318E-01
34.72222       4.64260E-01
34.60208       4.44258E-01
34.48276       4.45961E-01
34.36426       4.74905E-01
34.24657       5.06050E-01
34.12969       5.23838E-01
34.01361       5.31230E-01
33.89830       5.33442E-01
33.78378       5.37016E-01
33.67003       5.37894E-01
33.55705       5.30631E-01
33.44482       5.28462E-01
33.33333       5.29531E-01
33.22259       5.14047E-01
33.11258       4.88693E-01
33.00330       4.86526E-01
32.89474       5.15475E-01
32.78688       5.50228E-01
32.67974       5.75932E-01
32.57329       5.95092E-01
32.46753       6.03693E-01
32.36246       6.04215E-01
32.25806       6.13333E-01
32.15434       6.27506E-01
32.05128       6.34737E-01
31.94888       6.31882E-01
31.84713       6.06138E-01
31.74603       5.90588E-01
31.64557       6.24303E-01
31.54574       6.64928E-01
31.44654       6.82509E-01
31.34796       6.87092E-01
31.25000       6.81789E-01
31.15265       6.72601E-01
31.05590       6.52535E-01
30.95975       6.14967E-01
30.86420       6.05334E-01
30.76923       6.42466E-01
30.67485       6.61075E-01
30.58104       6.36316E-01
30.48780       6.32414E-01
30.39514       6.80964E-01
30.30303       7.30505E-01
30.21148       7.53580E-01
30.12048       7.61588E-01
30.03003       7.48305E-01
29.94012       7.02346E-01
29.85075       6.71068E-01
29.76191       7.10717E-01
29.67359       7.74534E-01
29.58580       8.06986E-01
29.49853       7.99124E-01
29.41176       7.65059E-01
29.32551       7.62973E-01
29.23977       7.88763E-01
29.15452       8.02516E-01
29.06977       8.28763E-01
28.98551       8.47144E-01
28.90173       8.48061E-01
28.81844       8.60720E-01
28.73563       8.51843E-01
28.65330       8.09966E-01
28.57143       7.85597E-01
28.49003       7.84044E-01
28.40909       7.90512E-01
28.32861       8.01268E-01
28.24859       7.96988E-01
28.16901       8.21154E-01
28.08989       8.45925E-01
28.01120       8.24081E-01
27.93296       8.37665E-01
27.85515       9.07530E-01
27.77778       9.72783E-01
27.70083       1.00244E+00
27.62431       1.00790E+00
27.54821       1.02022E+00
27.47253       1.04667E+00
27.39726       1.06586E+00
27.32240       1.07121E+00
27.24796       1.06694E+00
27.17391       1.04252E+00
27.10027       9.78592E-01
27.02703       9.43243E-01
26.95418       1.00236E+00
26.88172       1.06134E+00
26.80965       1.04178E+00
26.73797       9.79598E-01
26.66667       9.40431E-01
26.59575       9.68661E-01
26.52520       1.04590E+00
26.45503       1.10790E+00
26.38522       1.14599E+00
26.31579       1.17759E+00
26.24672       1.19050E+00
26.17801       1.18409E+00
26.10966       1.13642E+00
26.04167       1.04452E+00
25.97403       1.00143E+00
25.90674       1.07653E+00
25.83979       1.19157E+00
25.77320       1.25956E+00
25.70694       1.28586E+00
25.64103       1.29876E+00
25.57545       1.30435E+00
25.51020       1.29336E+00
25.44529       1.24323E+00
25.38071       1.18410E+00
25.31646       1.16102E+00
25.25253       1.11357E+00
25.18892       1.06731E+00
25.12563       1.09233E+00
25.06266       1.13448E+00
25.00000       1.18926E+00
24.93766       1.28786E+00
24.87562       1.38197E+00
24.81390       1.42913E+00
24.75248       1.43830E+00
24.69136       1.43326E+00
24.63054       1.44743E+00
24.57002       1.48257E+00
24.50980       1.50783E+00
24.44988       1.52059E+00
24.39024       1.53204E+00
24.33090       1.53920E+00
24.27184       1.53679E+00
24.21308       1.52985E+00
24.15459       1.51145E+00
24.09639       1.48576E+00
24.03846       1.45461E+00
23.98082       1.36207E+00
23.92344       1.23292E+00
23.86635       1.17129E+00
23.80952       1.23194E+00
23.75297       1.37834E+00
23.69668       1.45196E+00
23.64066       1.45854E+00
23.58491       1.50045E+00
23.52941       1.50320E+00
23.47418       1.50680E+00
23.41920       1.59563E+00
23.36449       1.67351E+00
23.31002       1.68393E+00
23.25581       1.62203E+00
23.20186       1.55909E+00
23.14815       1.63122E+00
23.09469       1.73868E+00
23.04148       1.74119E+00
22.98851       1.69748E+00
22.93578       1.69116E+00
22.88330       1.74091E+00
22.83105       1.80485E+00
22.77904       1.82769E+00
22.72727       1.78461E+00
22.67574       1.64243E+00
22.62443       1.53267E+00
22.57336       1.59904E+00
22.52252       1.72765E+00
22.47191       1.81115E+00
22.42152       1.79809E+00
22.37136       1.78663E+00
22.32143       1.88287E+00
22.27172       1.94840E+00
22.22222       1.93578E+00
22.17295       1.89847E+00
22.12389       1.81483E+00
22.07506       1.78001E+00
22.02643       1.85891E+00
21.97802       1.89064E+00
21.92982       1.77130E+00
21.88184       1.58413E+00
21.83406       1.56210E+00
21.78649       1.75901E+00
21.73913       1.91672E+00
21.69197       1.95783E+00
21.64502       2.01089E+00
21.59827       2.08198E+00
21.55172       2.12745E+00
21.50538       2.14042E+00
21.45923       2.10383E+00
21.41328       2.03405E+00
21.36752       1.99724E+00
21.32196       2.03074E+00
21.27660       2.05631E+00
21.23142       1.94063E+00
21.18644       1.74264E+00
21.14165       1.75094E+00
21.09705       1.98710E+00
21.05263       2.16424E+00
21.00840       2.21547E+00
20.96436       2.26202E+00
20.92050       2.31627E+00
20.87683       2.33142E+00
20.83333       2.29697E+00
20.79002       2.25979E+00
20.74689       2.22516E+00
20.70393       2.06758E+00
20.66116       1.94611E+00
20.61856       2.07048E+00
20.57613       2.24373E+00
20.53388       2.36155E+00
20.49180       2.43999E+00
20.44990       2.45067E+00
20.40816       2.41188E+00
20.36660       2.27457E+00
